collec_recid,collec_ref,site,year,month,day,date_iso,time_iso,day_c,site_id,temperature,humidity,wind-speed,cloud-cover,filght-activity,nest-activity,notes,,,
93,13,T1,12,12,12,2012-12-12,09:00:00,13,T11213,20.0,58%,0.2,5%,H,H,,,,
94,1,P2,12,11,9,2012-11-09,11:30:00,1,P2121,21.7,50%,0.5,,,,Start survey,,,
95,2,P2,12,11,10,2012-11-10,13:00:00,2,P2122,29.1,42%,0.3,10%,L,L,,,,
96,3,P2,12,11,11,2012-11-11,10:30:00,3,P2123,16.8,87%,0.0,40%,L,L,,,,
97,4,P2,12,11,12,2012-11-12,10:30:00,4,P2124,20.2,63%,0.3,70%,M,M,,,,
98,5,P2,12,11,13,2012-11-13,10:30:00,5,P2125,18.2,61%,0.3,10%,L,L,,,,
99,6,P2,12,11,14,2012-11-14,10:30:00,6,P2126,14.7,63%,0.4,100%,L,L,,,,
100,7,P2,12,11,15,2012-11-15,10:00:00,7,P2127,17.0,71%,0.4,80%,L,L,,,,
101,8,P2,12,11,16,2012-11-16,10:30:00,8,P2128,21.8,53%,0.3,,L,L,,,,
102,9,P2,12,11,18,2012-11-18,10:30:00,9,P2129,20.4,50%,0.5,50%,L,L,,,,
103,10,P2,12,11,19,2012-11-19,10:30:00,10,P21210,20.0,56%,0.3,100%,L,L,,,,
104,11,P2,12,11,4,2012-11-04,10:30:00,11,P21211,20.5,68%,0.4,20%,M,L,,,,
105,12,P2,12,11,11,2012-11-11,11:00:00,12,P21212,30.0,43%,0.4,5%,M,H,,,,
106,13,P2,12,11,12,2012-11-12,10:00:00,13,P21213,20.9,62%,0.3,10%,L,M,,,,
107,1,M3,12,11,9,2012-11-09,12:00:00,1,M3121,24.0,49%,1.1,,,,Start survey,,,
108,2,M3,12,11,10,2012-11-10,11:30:00,2,M3122,,,,,,,,,,
109,3,M3,12,11,11,2012-11-11,11:30:00,3,M3123,19.4,53%,0.0,60%,L,L,,,,
110,4,M3,12,11,12,2012-11-12,12:00:00,4,M3124,22.1,55%,0.1,60%,L,L,,,,
111,5,M3,12,11,13,2012-11-13,11:00:00,5,M3125,23.0,65%,0.3,80%,L,L,,,,
112,6,M3,12,11,14,2012-11-14,11:30:00,6,M3126,16.3,64%,0.4,30%,L,L,,,,
113,7,M3,12,11,15,2012-11-15,11:30:00,7,M3127,17.9,70%,0.5,20%,L,L,,,,
114,8,M3,12,11,16,2012-11-16,11:30:00,8,M3128,21.8,53%,0.3,,L,L,,,,
115,9,M3,12,11,18,2012-11-18,11:30:00,9,M3129,21.0,55%,0.6,,L,L,,,,
116,10,M3,12,11,19,2012-11-19,11:30:00,10,M31210,19.5,56%,0.1,,L,L,,,,
117,11,M3,12,11,4,2012-11-04,12:30:00,11,M31211,22.8,61%,0.3,60,M,M,,,,
118,12,M3,12,11,11,2012-11-11,12:30:00,12,M31212,29.0,51%,0.3,20,M,L,,,,
119,13,M3,12,11,12,2012-11-12,09:30:00,13,M31213,25.0,57%,0.3,30,M,M,,,,
120,1,T1,13,11,18,2013-11-18,11:00:00,1,T1131,24.0,61%,0.4,20%,M,M,Start survey,,,
121,2,T1,13,11,19,2013-11-19,10:30:00,2,T1132,28.0,46%,0.5,70%,M,M,,,,
122,3,T1,13,11,21,2013-11-21,10:30:00,3,T1133,20.4,67%,0.5,100%,L,L,,,,
123,4,T1,13,11,22,2013-11-22,09:00:00,4,T1134,20.0,61%,0.5,80%,,,,,,
124,5,T1,13,11,23,2013-11-23,09:50:00,5,T1135,20.2,69%,0.4,50%,,,,,,
125,6,T1,13,11,24,2013-11-24,10:00:00,6,T1136,21.0,68%,0.4,,H,H,,,,
126,7,T1,13,11,25,2013-11-25,11:00:00,7,T1137,23.0,53%,0.1,10%,H,H,,,,
127,8,T1,13,11,26,2013-11-26,11:00:00,8,T1138,27.0,55%,0.3,40%,H,H,,,,
128,9,T1,13,11,28,2013-11-28,12:00:00,9,T1139,26.0,51%,0.0,20%,M,M,,,,
129,10,T1,13,11,29,2013-11-29,11:00:00,10,T11310,26.0,52%,0.3,40%,H,H,,,,
130,1,P2,13,11,18,2013-11-18,12:00:00,1,P2131,27.0,64%,0.1,20%,L,L,Start survey,,,
131,2,P2,13,11,19,2013-11-19,11:00:00,2,P2132,27.3,51%,0.8,80%,M,M,,,,
132,3,P2,13,11,21,2013-11-21,11:00:00,3,P2133,21.7,70%,0.4,80%,M,M,,,,
133,4,P2,13,11,22,2013-11-22,10:00:00,4,P2134,22.0,61%,0.4,90%,M,M,,,,
134,5,P2,13,11,23,2013-11-23,10:00:00,5,P2135,22.2,62%,1.0,30%,,,cell_ph images,,,
135,6,P2,13,11,24,2013-11-24,11:00:00,6,P2136,26.0,61%,0.1,,H,H,,,,
136,7,P2,13,11,25,2013-11-25,12:00:00,7,P2137,22.0,48%,1.1,20%,H,H,,,,
137,8,P2,13,11,26,2013-11-26,11:00:00,8,P2138,25.0,70%,0.2,100%,M,M,,,,
138,9,P2,13,11,28,2013-11-28,12:30:00,9,P2139,25.0,55%,0.5,20%,M,M,,,,
139,10,P2,13,11,29,2013-11-29,11:30:00,10,P21310,29.0,47%,0.2,30%,M,M,,,,
140,1,M3,13,11,18,2013-11-18,12:30:00,1,M3131,28.0,47%,0.0,,,,,,,
141,2,M3,13,11,19,2013-11-19,11:30:00,2,M3132,29.0,51%,0.0,90%,L,L,,,,
142,3,M3,13,11,21,2013-11-21,11:30:00,3,M3133,23.3,62%,0.7,80%,,,cell_ph images,,,
143,4,M3,13,11,22,2013-11-22,10:30:00,4,M3134,24.0,58%,0.4,40%,,,,,,
144,5,M3,13,11,23,2013-11-23,10:30:00,5,M3135,25.0,56%,1.0,20%,,,,,,
145,6,M3,13,11,24,2013-11-24,11:20:00,6,M3136,22.0,57%,0.6,,,,,,,
146,7,M3,13,11,25,2013-11-25,12:30:00,7,M3137,24.0,45%,0.3,5%,,,,,,
147,8,M3,13,11,26,2013-11-26,11:50:00,8,M3138,27.0,65%,0.0,50%,M,M,,,,
148,9,M3,13,11,28,2013-11-28,13:00:00,9,M3139,32.0,44%,0.3,40%,M,M,,,,
149,10,M3,13,11,29,2013-11-29,,10,M31310,31.0,37%,0.8,80%,M,M,,,,
